Date,Service,Cost
2025-01,Amazon EC2,1245.67
2025-01,Amazon S3,234.50
2025-01,Amazon RDS,567.89
2025-01,AWS Lambda,89.12
2025-01,Amazon CloudFront,156.34
2025-01,Other,78.45
2025-02,Amazon EC2,1198.34
2025-02,Amazon S3,245.12
2025-02,Amazon RDS,567.89
2025-02,AWS Lambda,95.67
2025-02,Amazon CloudFront,162.78
2025-02,Other,82.10
2025-03,Amazon EC2,1312.45
2025-03,Amazon S3,258.90
2025-03,Amazon RDS,589.00
2025-03,AWS Lambda,102.34
2025-03,Amazon CloudFront,171.23
2025-03,Other,91.56
2025-04,Amazon EC2,1287.90
2025-04,Amazon S3,267.45
2025-04,Amazon RDS,589.00
2025-04,AWS Lambda,118.90
2025-04,Amazon CloudFront,178.56
2025-04,Other,85.23
2025-05,Amazon EC2,1356.78
2025-05,Amazon S3,278.34
2025-05,Amazon RDS,612.50
2025-05,AWS Lambda,134.56
2025-05,Amazon CloudFront,185.90
2025-05,Other,92.45
2025-06,Amazon EC2,1423.12
2025-06,Amazon S3,289.67
2025-06,Amazon RDS,612.50
2025-06,AWS Lambda,145.23
2025-06,Amazon CloudFront,192.34
2025-06,Other,98.78
2025-07,Amazon EC2,1489.56
2025-07,Amazon S3,301.23
2025-07,Amazon RDS,634.00
2025-07,AWS Lambda,167.89
2025-07,Amazon CloudFront,198.45
2025-07,Other,105.34
2025-08,Amazon EC2,1534.23
2025-08,Amazon S3,312.56
2025-08,Amazon RDS,634.00
2025-08,AWS Lambda,178.45
2025-08,Amazon CloudFront,205.67
2025-08,Other,112.78
2025-09,Amazon EC2,1478.90
2025-09,Amazon S3,298.34
2025-09,Amazon RDS,612.50
2025-09,AWS Lambda,156.78
2025-09,Amazon CloudFront,195.23
2025-09,Other,98.45
2025-10,Amazon EC2,1398.45
2025-10,Amazon S3,287.90
2025-10,Amazon RDS,612.50
2025-10,AWS Lambda,145.67
2025-10,Amazon CloudFront,189.34
2025-10,Other,94.12
2025-11,Amazon EC2,1356.78
2025-11,Amazon S3,276.45
2025-11,Amazon RDS,589.00
2025-11,AWS Lambda,138.90
2025-11,Amazon CloudFront,182.56
2025-11,Other,89.34
2025-12,Amazon EC2,1445.90
2025-12,Amazon S3,295.12
2025-12,Amazon RDS,634.00
2025-12,AWS Lambda,156.34
2025-12,Amazon CloudFront,198.78
2025-12,Other,102.56
